# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	0.000546061	0.00035839	0.000281385	0.000264918
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Rhodoluna	4.50E-05	2.91E-05	1.65E-05	1.60E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Salinibacterium	0.000192272	0.000132943	9.11E-05	9.15E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	0.003822911	0.002937832	0.002876324	0.002657658
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Glutamicibacter	0.000101948	0.000172657	0.000138271	0.000135607
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	0.001717852	0.001467463	0.001017538	0.001034973
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	1.70E-06	0.0004044	0.000294703	0.000284049
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Neomicrococcus	8.38E-05	7.51E-05	5.28E-05	5.16E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Paenarthrobacter	5.25E-05	0.000190576	0.000231985	0.000173626
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Pseudarthrobacter	0.001171307	0.000936658	0.000922371	0.000774898
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Renibacterium	0	3.03E-05	1.99E-05	2.13E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Rothia	5.69E-05	0.000103643	6.95E-05	6.30E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Sinomonas	0.000825993	0.000605147	0.000493029	0.000386965
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Zhihengliuella	0.00031456	0.000560106	0.00045162	0.000392292
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium	0.002008196	0.002055901	0.002094646	0.00193894
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Isoptericola	0.001955407	0.001514926	0.00193894	0.001313936
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Xylanimonas	0.000816549	0.000605147	0.000614349	0.000477531
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	0.000758189	0.000503684	0.00041336	0.000393019
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Actinoplanes	0.008364539	0.006756868	0.004628562	0.005024971
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Micromonospora	0.020218541	0.017862366	0.01370068	0.020215635
