# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Phieco32virus	89	88	53	77
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Phikmvvirus	161	230	182	177
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Pocjvirus	2	1	4	1
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Pradovirus	12	12	13	22
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Prtbvirus	0	1	0	1
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Sp6virus	43	47	45	31
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__T7virus	138	107	82	135
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Tl2011virus	6	2	2	6
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Una961virus	6	10	7	4
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Vp5virus	23	18	8	8
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__	4674	4806	5115	5014
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Ab18virus	52	37	29	30
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Acadianvirus	68	79	69	65
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Andromedavirus	21	16	29	26
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Barnyardvirus	34	38	25	32
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Bernal13virus	22	16	50	31
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Bignuzvirus	16	14	28	20
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Biseptimavirus	20	8	15	14
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Bronvirus	204	279	342	301
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Brujitavirus	146	164	113	198
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__C2virus	8	10	17	15
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__C5virus	17	10	9	19
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Camvirus	15	14	21	17
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Cba181virus	3	9	5	8
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Cbastvirus	10	10	9	9
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Cecivirus	6	5	3	5
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Charlievirus	1	0	2	2
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Che8virus	59	190	224	228
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Che9cvirus	51	28	24	40
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Chivirus	19	147	19	75
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Cjw1virus	14	84	137	96
