# Constructed from biom file
#OTU ID	control15Bracken	control25Bracken	maiz25Bracken	maiz35Bracken
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__dulcis	63.0	77.0	32.0	31.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__lacus	155.0	108.0	64.0	68.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__limnetica	76.0	48.0	17.0	21.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__sulfonica	67.0	71.0	28.0	35.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__vernalis	43.0	101.0	38.0	30.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__versatilis	128.0	91.0	45.0	43.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Catenulisporales;f__Catenulisporaceae;g__Catenulispora;s__acidiphila	6807.0	4121.0	2856.0	2736.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Catenulisporales;f__Catenulisporaceae;g__Thermobispora;s__bispora	4841.0	2723.0	1958.0	1785.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__ammoniagenes	0.0	61.0	54.0	55.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__aquilae	377.0	212.0	168.0	160.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__argentoratense	189.0	109.0	71.0	67.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__atypicum	643.0	427.0	298.0	280.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__aurimucosum	305.0	177.0	141.0	155.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__callunae	85.0	68.0	39.0	50.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__camporealensis	253.0	180.0	91.0	108.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__casei	182.0	104.0	74.0	71.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__crudilactis	78.0	72.0	31.0	44.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__cystitidis	205.0	109.0	81.0	75.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__deserti	156.0	97.0	56.0	68.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__diphtheriae	31.0	158.0	474.0	519.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__doosanense	922.0	662.0	472.0	429.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__efficiens	534.0	303.0	180.0	230.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__epidermidicanis	237.0	152.0	108.0	87.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__falsenii	508.0	547.0	351.0	256.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__flavescens	285.0	160.0	108.0	94.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__frankenforstense	1646.0	1062.0	712.0	740.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__genitalium	497.0	292.0	194.0	194.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__glaucum	518.0	303.0	186.0	180.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__glutamicum	5.0	1725.0	872.0	665.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__glyciniphilum	716.0	412.0	302.0	263.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__halotolerans	1334.0	826.0	541.0	546.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__humireducens	995.0	650.0	427.0	445.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__imitans	638.0	570.0	331.0	290.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__jeikeium	157.0	1138.0	743.0	737.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__kroppenstedtii	227.0	152.0	76.0	79.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__kutscheri	34.0	27.0	26.0	29.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__lactis	401.0	230.0	143.0	144.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__marinum	985.0	634.0	412.0	418.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__maris	1118.0	615.0	364.0	405.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__minutissimum	236.0	139.0	92.0	81.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__mustelae	119.0	62.0	42.0	47.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__mycetoides	841.0	555.0	380.0	419.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__phocae	175.0	108.0	86.0	66.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__provencense	669.0	421.0	274.0	279.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__pseudotuberculosis	1.0	88.0	36.0	39.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__renale	350.0	188.0	112.0	118.0
