# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	2543	2381	2571	2620
k__Archaea	p__Euryarchaeota	c__Methanopyri	o__Methanopyrales	f__Methanopyraceae	g__Aciduliprofundum	196	165	160	141
k__Archaea	p__Euryarchaeota	c__Methanopyri	o__Methanopyrales	f__Methanopyraceae	g__Methanopyrus	1380	1420	1588	1403
k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Palaeococcus	52	42	38	37
k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	370	382	345	319
k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	8970	9039	8647	9022
k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomassiliicoccaceae	g__Candidatus Methanomethylophilus	516	540	652	550
k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomassiliicoccaceae	g__Candidatus Methanoplasma	558	550	588	569
k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomassiliicoccaceae	g__Methanomassiliicoccus	153	173	426	430
k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Thermoplasmatales	f__	g__	783	854	912	901
k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Thermoplasmatales	f__Cuniculiplasmataceae	g__Cuniculiplasma	152	152	166	173
k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Thermoplasmatales	f__Ferroplasmaceae	g__Ferroplasma	41	35	43	35
k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Thermoplasmatales	f__Picrophilaceae	g__Picrophilus	47	24	38	36
k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Thermoplasma	249	225	202	215
k__Archaea	p__Thaumarchaeota	c__Nitrososphaeria	o__Candidatus Nitrosocaldales	f__Candidatus Nitrosocaldaceae	g__Candidatus Nitrosocaldus	361	296	161	160
k__Archaea	p__Thaumarchaeota	c__Nitrososphaeria	o__Candidatus Nitrosocaldales	f__Candidatus Nitrosocaldaceae	g__Candidatus Nitrosopelagicus	282	277	148	118
k__Archaea	p__Thaumarchaeota	c__Nitrososphaeria	o__Candidatus Nitrosocaldales	f__Candidatus Nitrosocaldaceae	g__Candidatus Nitrosotenuis	870	715	722	607
k__Archaea	p__Thaumarchaeota	c__Nitrososphaeria	o__Nitrosopumilales	f__Nitrosopumilaceae	g__Candidatus Nitrosomarinus	378	301	189	203
k__Archaea	p__Thaumarchaeota	c__Nitrososphaeria	o__Nitrosopumilales	f__Nitrosopumilaceae	g__Nitrosopumilus	731	614	425	362
k__Archaea	p__Thaumarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Nitrososphaera	11844	6448	3515	3561
